barrido,archivo,f_test_hz,resolucion_hz,peak_freq_hz,peak_amp_dbm,offset_hz,offset_en_bins,noise_floor_dbm,snr_db
barrido 6,sweep_f_test_596.0kHz.csv,596000.0,500.0,596000.0,-10.22877491,0.0,0.0,-123.40726305000001,113.17848814000001
barrido 6,sweep_f_test_609.0kHz.csv,609000.0,500.0,609000.0,-10.2285858,0.0,0.0,-124.03675419999999,113.80816839999999
barrido 6,sweep_f_test_622.0kHz.csv,622000.0,500.0,622000.0,-10.248338,0.0,0.0,-123.45416505,113.20582705
barrido 6,sweep_f_test_635.0kHz.csv,635000.0,500.0,635000.0,-10.24351747,0.0,0.0,-123.23013725,112.98661978
barrido 6,sweep_f_test_648.0kHz.csv,648000.0,500.0,648000.0,-10.27956292,0.0,0.0,-122.79174505,112.51218213
barrido 6,sweep_f_test_661.0kHz.csv,661000.0,500.0,661000.0,-10.24959344,0.0,0.0,-123.43917015,113.18957671
barrido 6,sweep_f_test_674.0kHz.csv,674000.0,500.0,674000.0,-10.20812347,0.0,0.0,-123.27740324999999,113.06927977999999
barrido 6,sweep_f_test_687.0kHz.csv,687000.0,500.0,687000.0,-10.24147118,0.0,0.0,-123.20016815,112.95869696999999
barrido 6,sweep_f_test_700.0kHz.csv,700000.0,500.0,700000.0,-10.22224426,0.0,0.0,-122.62140070000001,112.39915644000001
barrido 6,sweep_f_test_713.0kHz.csv,713000.0,500.0,713000.0,-10.23812866,0.0,0.0,-122.52953045000001,112.29140179000001
barrido 6,sweep_f_test_726.0kHz.csv,726000.0,500.0,726000.0,-10.22946612,0.0,0.0,-122.67921100000001,112.44974488000001
barrido 6,sweep_f_test_739.0kHz.csv,739000.0,500.0,739000.0,-10.23786154,0.0,0.0,-122.92628635,112.68842481
barrido 6,sweep_f_test_752.0kHz.csv,752000.0,500.0,752000.0,-10.24124241,0.0,0.0,-122.74539265,112.50415024
barrido 6,sweep_f_test_765.0kHz.csv,765000.0,500.0,765000.0,-10.24715371,0.0,0.0,-123.3498056,113.10265189
barrido 6,sweep_f_test_778.0kHz.csv,778000.0,500.0,778000.0,-10.25070331,0.0,0.0,-123.19527984999999,112.94457653999999
barrido 6,sweep_f_test_791.0kHz.csv,791000.0,500.0,791000.0,-10.26497198,0.0,0.0,-124.01749495,113.75252297
barrido 6,sweep_f_test_804.0kHz.csv,804000.0,500.0,804000.0,-10.26165206,0.0,0.0,-123.49545645,113.23380439
barrido 6,sweep_f_test_817.0kHz.csv,817000.0,500.0,817000.0,-10.29739524,0.0,0.0,-124.31408155,114.01668631
barrido 6,sweep_f_test_830.0kHz.csv,830000.0,500.0,830000.0,-10.26369524,0.0,0.0,-123.87358725,113.60989201
barrido 6,sweep_f_test_843.0kHz.csv,843000.0,500.0,843000.0,-10.23272631,0.0,0.0,-123.86771395,113.63498763999999
barrido 6,sweep_f_test_856.0kHz.csv,856000.0,500.0,856000.0,-10.24212378,0.0,0.0,-123.93275915,113.69063537
barrido 6,sweep_f_test_869.0kHz.csv,869000.0,500.0,869000.0,-10.23340858,0.0,0.0,-123.61322899999999,113.37982041999999
barrido 6,sweep_f_test_882.0kHz.csv,882000.0,500.0,882000.0,-10.24202311,0.0,0.0,-124.85904769999999,114.61702458999999
barrido 6,sweep_f_test_895.0kHz.csv,895000.0,500.0,895000.0,-10.23595436,0.0,0.0,-124.32359775,114.08764339000001
barrido 6,sweep_f_test_908.0kHz.csv,908000.0,500.0,908000.0,-10.24742053,0.0,0.0,-123.99715574999999,113.74973521999999
barrido 6,sweep_f_test_921.0kHz.csv,921000.0,500.0,921000.0,-10.24972079,0.0,0.0,-124.09561345,113.84589266
barrido 6,sweep_f_test_934.0kHz.csv,934000.0,500.0,934000.0,-10.25776459,0.0,0.0,-124.13668885,113.87892425999999
barrido 6,sweep_f_test_947.0kHz.csv,947000.0,500.0,947000.0,-10.26882419,0.0,0.0,-124.12620785,113.85738366
barrido 7,sweep_f_test_1020.0kHz.csv,1020000.0,4000.0,1024000.0,-10.22559877,4000.0,1.0,-122.93343025,112.70783148
barrido 7,sweep_f_test_1070.0kHz.csv,1070000.0,4000.0,1072000.0,-10.23898821,2000.0,0.5,-122.9718283,112.73284009
barrido 7,sweep_f_test_1120.0kHz.csv,1120000.0,4000.0,1120000.0,-10.26115355,0.0,0.0,-123.33078875,113.0696352
barrido 7,sweep_f_test_1170.0kHz.csv,1170000.0,4000.0,1168000.0,-10.2740562,-2000.0,-0.5,-123.1914377,112.91738149999999
barrido 7,sweep_f_test_1220.0kHz.csv,1220000.0,4000.0,1224000.0,-10.28904084,4000.0,1.0,-123.1097981,112.82075726000001
barrido 7,sweep_f_test_1270.0kHz.csv,1270000.0,4000.0,1272000.0,-10.31385213,2000.0,0.5,-122.90215795,112.58830582
barrido 7,sweep_f_test_1320.0kHz.csv,1320000.0,4000.0,1320000.0,-10.3446909,0.0,0.0,-123.1119719,112.767281
barrido 7,sweep_f_test_1370.0kHz.csv,1370000.0,4000.0,1368000.0,-10.23088683,-2000.0,-0.5,-123.30567665,113.07478981999999
barrido 7,sweep_f_test_1420.0kHz.csv,1420000.0,4000.0,1416000.0,-10.24713258,-4000.0,-1.0,-122.5434029,112.29627032
barrido 7,sweep_f_test_1470.0kHz.csv,1470000.0,4000.0,1472000.0,-10.26719308,2000.0,0.5,-122.87040089999999,112.60320782
barrido 7,sweep_f_test_1520.0kHz.csv,1520000.0,4000.0,1520000.0,-10.28249051,0.0,0.0,-123.028048,112.74555749
barrido 7,sweep_f_test_1570.0kHz.csv,1570000.0,4000.0,1568000.0,-10.29912667,-2000.0,-0.5,-123.29531985,112.99619318
barrido 7,sweep_f_test_1620.0kHz.csv,1620000.0,4000.0,1616000.0,-10.31619732,-4000.0,-1.0,-123.05201855,112.73582123
barrido 7,sweep_f_test_1670.0kHz.csv,1670000.0,4000.0,1672000.0,-10.33647172,2000.0,0.5,-122.9002468,112.56377508
barrido 7,sweep_f_test_1720.0kHz.csv,1720000.0,4000.0,1720000.0,-10.34393258,0.0,0.0,-123.0692368,112.72530422
barrido 7,sweep_f_test_1770.0kHz.csv,1770000.0,4000.0,1768000.0,-10.26465146,-2000.0,-0.5,-122.95639209999999,112.69174063999999
barrido 7,sweep_f_test_1820.0kHz.csv,1820000.0,4000.0,1824000.0,-10.27195617,4000.0,1.0,-122.92428685,112.65233068
barrido 7,sweep_f_test_1870.0kHz.csv,1870000.0,4000.0,1872000.0,-10.28482076,2000.0,0.5,-122.76750545,112.48268469
barrido 7,sweep_f_test_1920.0kHz.csv,1920000.0,4000.0,1920000.0,-10.30606364,0.0,0.0,-123.33589075,113.02982711
